date,cases,deaths,recovered,days
2020/1/22,548,17,28,1
2020/1/23,643,18,30,2
2020/1/24,920,26,36,3
2020/1/25,1406,42,39,4
2020/1/26,2075,56,49,5
2020/1/27,2877,82,58,6
2020/1/28,5509,131,101,7
2020/1/29,6087,133,120,8
2020/1/30,8141,171,135,9
2020/1/31,9802,213,214,10
2020/2/1,11891,259,275,11
2020/2/2,16630,361,463,12
2020/2/3,19716,425,614,13
2020/2/4,23707,491,843,14
2020/2/5,27440,563,1115,15
2020/2/6,30587,633,1477,16
2020/2/7,34110,718,1999,17
2020/2/8,36814,805,2596,18
2020/2/9,39829,905,3219,19
2020/2/10,42354,1012,3918,20
2020/2/11,44386,1112,4636,21
2020/2/12,44759,1117,5082,22
2020/2/13,59895,1369,6217,23
2020/2/14,66358,1521,7977,24
2020/2/15,68413,1663,9298,25
2020/2/16,70513,1766,10755,26
2020/2/17,72434,1864,12462,27
2020/2/18,74211,2003,14206,28
2020/2/19,74619,2116,15962,29
2020/2/20,75077,2238,18014,30
2020/2/21,75550,2238,18704,31
2020/2/22,77001,2443,22699,32
2020/2/23,77022,2445,23187,33
2020/2/24,77241,2595,25015,34
2020/2/25,77754,2665,27676,35
2020/2/26,78166,2717,30084,36
2020/2/27,78600,2746,32930,37
2020/2/28,78928,2790,36329,38
2020/2/29,79356,2837,39320,39
2020/3/1,79932,2872,42162,40
2020/3/2,80136,2914,44854,41
2020/3/3,80261,2947,47450,42
2020/3/4,80386,2983,50001,43
2020/3/5,80537,3015,52292,44
2020/3/6,80690,3044,53944,45
2020/3/7,80770,3072,55539,46
2020/3/8,80823,3100,57388,47
2020/3/9,80860,3123,58804,48
2020/3/10,80887,3139,60181,49
2020/3/11,80921,3161,61644,50
2020/3/12,80932,3172,62901,51
2020/3/13,80945,3180,64196,52
2020/3/14,80977,3193,65660,53
2020/3/15,81003,3203,67017,54
2020/3/16,81033,3217,67910,55
2020/3/17,81058,3230,68798,56
2020/3/18,81102,3241,69755,57
2020/3/19,81156,3249,70535,58
2020/3/20,81250,3253,71266,59
2020/3/21,81305,3259,71857,60
2020/3/22,81435,3274,72362,61
2020/3/23,81498,3274,72814,62
2020/3/24,81591,3281,73280,63
2020/3/25,81661,3285,73773,64
2020/3/26,81782,3291,74181,65
2020/3/27,81897,3296,74720,66
2020/3/28,81999,3299,75100,67
2020/3/29,82122,3304,75582,68
2020/3/30,82198,3308,75923,69
2020/3/31,82279,3309,76206,70
2020/4/1,82361,3316,76405,71
2020/4/2,82432,3322,76565,72
2020/4/3,82511,3326,76760,73
2020/4/4,82543,3330,76946,74
2020/4/5,82602,3333,77207,75
2020/4/6,82665,3335,77310,76
2020/4/7,82718,3335,77410,77
2020/4/8,82809,3337,77567,78
2020/4/9,82883,3339,77679,79
2020/4/10,82941,3340,77791,80
2020/4/11,83014,3343,77877,81
2020/4/12,83134,3343,77956,82
2020/4/13,83213,3345,78039,83
2020/4/14,83306,3345,78200,84
2020/4/15,83356,3346,78311,85
2020/4/16,83403,3346,78401,86
2020/4/17,83760,4636,78552,87
2020/4/18,83787,4636,78614,88
2020/4/19,83805,4636,78690,89
2020/4/20,83817,4636,78745,90
2020/4/21,83853,4636,78799,91
2020/4/22,83868,4636,78861,92
2020/4/23,83884,4636,78983,93
2020/4/24,83899,4636,79109,94
2020/4/25,83909,4636,79175,95
2020/4/26,83912,4637,79277,96
2020/4/27,83918,4637,79374,97
2020/4/28,83940,4637,79422,98
2020/4/29,83944,4637,79474,99
2020/4/30,83956,4637,79523,100
2020/5/1,83959,4637,79573,101
2020/5/2,83959,4637,79586,102
2020/5/3,83964,4637,79684,103
2020/5/4,83966,4637,79792,104
2020/5/5,83968,4637,79870,105
2020/5/6,83970,4637,79929,106
2020/5/7,83975,4637,79977,107
2020/5/8,83976,4637,79993,108
2020/5/9,83990,4637,80127,109
2020/5/10,84010,4637,80167,110
2020/5/11,84011,4637,80198,111
2020/5/12,84018,4637,80222,112
2020/5/13,84024,4637,80246,113
2020/5/14,84029,4637,80261,114
2020/5/15,84038,4637,80281,115
2020/5/16,84044,4638,80293,116
2020/5/17,84054,4638,80306,117
2020/5/18,84063,4638,80310,118
2020/5/19,84063,4638,80310,119
2020/5/20,84063,4638,80310,120
2020/5/21,84063,4638,80310,121
2020/5/22,84081,4638,80332,122
2020/5/23,84084,4638,80335,123
2020/5/24,84095,4638,80343,124
2020/5/25,84102,4638,80352,125
2020/5/26,84103,4638,80358,126
2020/5/27,84106,4638,80367,127
2020/5/28,84106,4638,80371,128
2020/5/29,84123,4638,80382,129
2020/5/30,84128,4638,80386,130
2020/5/31,84146,4638,80389,131
2020/6/1,84154,4638,80398,132
2020/6/2,84161,4638,80400,133
2020/6/3,84160,4638,80404,134
2020/6/4,84171,4638,80415,135
2020/6/5,84177,4638,80420,136
2020/6/6,84186,4638,80424,137
2020/6/7,84191,4638,80434,138
2020/6/8,84195,4638,80444,139
2020/6/9,84198,4638,80451,140
2020/6/10,84209,4638,80456,141
2020/6/11,84216,4638,80464,142
2020/6/12,84228,4638,80472,143
2020/6/13,84286,4638,80475,144
2020/6/14,84335,4638,80482,145
