date,cases,deaths,recovered,days
2020/1/22,1,0,0,1
2020/1/23,1,0,0,2
2020/1/24,2,0,0,3
2020/1/25,3,0,0,4
2020/1/26,5,0,0,5
2020/1/27,5,0,0,6
2020/1/28,5,0,0,7
2020/1/29,5,0,0,8
2020/1/30,6,0,0,9
2020/1/31,7,0,0,10
2020/2/1,8,0,0,11
2020/2/2,11,0,0,12
2020/2/3,11,0,0,13
2020/2/4,11,0,0,14
2020/2/5,12,0,0,15
2020/2/6,12,0,0,16
2020/2/7,12,0,0,17
2020/2/8,12,0,0,18
2020/2/9,12,0,3,19
2020/2/10,13,0,3,20
2020/2/11,13,0,3,21
2020/2/12,14,0,3,22
2020/2/13,15,0,3,23
2020/2/14,15,0,3,24
2020/2/15,15,0,3,25
2020/2/16,15,0,3,26
2020/2/17,25,0,3,27
2020/2/18,25,0,3,28
2020/2/19,25,0,3,29
2020/2/20,27,0,3,30
2020/2/21,30,0,5,31
2020/2/22,30,0,5,32
2020/2/23,30,0,5,33
2020/2/24,43,0,5,34
2020/2/25,45,0,6,35
2020/2/26,60,0,6,36
2020/2/27,60,0,6,37
2020/2/28,65,0,7,38
2020/2/29,70,1,7,39
2020/3/1,88,3,7,40
2020/3/2,104,6,7,41
2020/3/3,125,10,7,42
2020/3/4,161,12,7,43
2020/3/5,228,12,7,44
2020/3/6,311,15,7,45
2020/3/7,428,19,7,46
2020/3/8,547,22,7,47
2020/3/9,748,26,7,48
2020/3/10,1018,31,8,49
2020/3/11,1263,37,8,50
2020/3/12,1668,43,12,51
2020/3/13,2224,50,12,52
2020/3/14,2898,60,12,53
2020/3/15,3600,68,12,54
2020/3/16,4507,91,17,55
2020/3/17,5906,117,17,56
2020/3/18,8350,162,105,57
2020/3/19,12393,212,121,58
2020/3/20,18012,277,147,59
2020/3/21,24528,360,176,60
2020/3/22,33073,458,178,61
2020/3/23,43505,579,178,62
2020/3/24,53938,785,348,63
2020/3/25,68572,1054,361,64
2020/3/26,85570,1353,681,65
2020/3/27,102900,1770,869,66
2020/3/28,123966,2300,1072,67
2020/3/29,142486,2718,2665,68
2020/3/30,163955,3368,5644,69
2020/3/31,188461,4304,7024,70
2020/4/1,215391,5325,8474,71
2020/4/2,245108,6541,9001,72
2020/4/3,277426,7932,9707,73
2020/4/4,312525,9488,14652,74
2020/4/5,338141,10856,17448,75
2020/4/6,369057,12382,19581,76
2020/4/7,399394,14616,21763,77
2020/4/8,431214,16701,23559,78
2020/4/9,465913,18821,25410,79
2020/4/10,499386,21084,28790,80
2020/4/11,531106,23168,31270,81
2020/4/12,558249,24849,32988,82
2020/4/13,584018,26613,43482,83
2020/4/14,610709,29318,47763,84
2020/4/15,640742,32070,52096,85
2020/4/16,672355,34419,54703,86
2020/4/17,703864,36708,58545,87
2020/4/18,732262,38659,64840,88
2020/4/19,757596,40179,70337,89
2020/4/20,784991,42016,72329,90
2020/4/21,810505,44688,75204,91
2020/4/22,839336,47059,77366,92
2020/4/23,873112,49228,80203,93
2020/4/24,909853,51360,99079,94
2020/4/25,944261,53327,100372,95
2020/4/26,970996,54580,106988,96
2020/4/27,994193,56022,111424,97
2020/4/28,1018844,58416,115936,98
2020/4/29,1045399,60930,120720,99
2020/4/30,1075756,63140,153947,100
2020/5/1,1109726,64902,164015,101
2020/5/2,1139200,66485,175382,102
2020/5/3,1165340,67816,180152,103
2020/5/4,1187302,68905,187180,104
2020/5/5,1211011,71139,189791,105
2020/5/6,1235515,73847,189910,106
2020/5/7,1263993,75805,195036,107
2020/5/8,1291641,77380,198993,108
2020/5/9,1316509,78834,212534,109
2020/5/10,1336826,79766,216169,110
2020/5/11,1354447,80748,232733,111
2020/5/12,1376747,82400,230287,112
2020/5/13,1397892,84168,243430,113
2020/5/14,1424853,85906,246414,114
2020/5/15,1451090,87499,250747,115
2020/5/16,1474748,88724,268376,116
2020/5/17,1493761,89568,272265,117
2020/5/18,1515585,90414,283178,118
2020/5/19,1536554,91934,289392,119
2020/5/20,1559620,93411,294312,120
2020/5/21,1585352,94722,298418,121
2020/5/22,1609147,96010,350135,122
2020/5/23,1631416,97059,361239,123
2020/5/24,1651447,97679,366736,124
2020/5/25,1670547,98189,379157,125
2020/5/26,1689440,98936,384902,126
2020/5/27,1708182,100421,391508,127
2020/5/28,1730692,101621,399991,128
2020/5/29,1755240,102811,406446,129
2020/5/30,1778637,103774,416461,130
2020/5/31,1799271,104378,444758,131
2020/6/1,1821167,105112,458231,132
2020/6/2,1841953,106194,463868,133
2020/6/3,1861939,107183,479258,134
2020/6/4,1883554,108191,485002,135
2020/6/5,1912261,109303,491706,136
2020/6/6,1934771,110031,500849,137
2020/6/7,1953386,110421,506367,138
2020/6/8,1971591,111143,518522,139
2020/6/9,1990396,112173,524855,140
2020/6/10,2013246,113102,533504,141
2020/6/11,2036447,113979,540292,142
2020/6/12,2061939,114758,547386,143
2020/6/13,2087273,115450,556606,144
2020/6/14,2106403,115767,561816,145
2020/6/15,2126520,116215,576334,146
2020/6/16,2151403,116984,583503,147
2020/6/17,2177056,117745,592191,148
2020/6/18,2205115,118472,599115,149
2020/6/19,2235950,119170,606715,150
2020/6/20,2267975,119716,617460,151
2020/6/21,2294354,119973,622133,152
2020/6/22,2324819,120333,640198,153
2020/6/23,2359878,121166,647548,154
2020/6/24,2396858,121933,656161,155
2020/6/25,2438031,124399,663562,156
2020/6/26,2483559,125032,670809,157
2020/6/27,2525858,125543,679308,158
2020/6/28,2565364,125814,685164,159
2020/6/29,2604858,126161,705203,160
2020/6/30,2653243,127461,720631,161
2020/7/1,2703218,128103,729994,162
2020/7/2,2758775,128826,781970,163
2020/7/3,2815928,129417,790404,164
2020/7/4,2865933,129678,894325,165
2020/7/5,2910696,129940,906763,166
2020/7/6,2958011,130331,924148,167
2020/7/7,3012084,131289,936476,168
2020/7/8,3071536,132237,953462,169
2020/7/9,3131422,133078,969111,170
2020/7/10,3199646,133906,983185,171
2020/7/11,3260362,134581,995576,172
2020/7/12,3318167,134976,1006326,173
2020/7/13,3379734,135401,1031939,174
2020/7/14,3445331,136355,1049098,175
2020/7/15,3513667,137326,1075882,176
2020/7/16,3589349,138284,1090645,177
2020/7/17,3660271,139185,1107204,178
2020/7/18,3722719,139960,1122720,179
2020/7/19,3784994,140372,1131121,180
2020/7/20,3844882,140903,1160087,181
2020/7/21,3910148,142030,1182018,182
2020/7/22,3979885,143166,1210849,183
2020/7/23,4049889,144282,1233269,184
2020/7/24,4123412,145428,1261624,185
2020/7/25,4190188,146311,1279414,186
2020/7/26,4244405,146751,1297863,187
2020/7/27,4303586,148447,1325804,188
2020/7/28,4366696,149774,1355363,189
2020/7/29,4433311,151169,1389425,190
2020/7/30,4502422,152430,1414155,191
2020/7/31,4571481,153859,1438160,192
2020/8/1,4628302,154914,1461885,193
2020/8/2,4679095,155334,1468689,194
2020/8/3,4726578,155942,1513446,195
2020/8/4,4780115,157298,1528979,196
2020/8/5,4833836,158550,1577851,197
2020/8/6,4891531,159625,1598624,198
2020/8/7,4952681,160981,1623870,199
2020/8/8,5007921,161947,1643118,200
2020/8/9,5056409,162486,1656864,201
2020/8/10,5103574,163023,1670755,202
2020/8/11,5156919,164474,1714960,203
2020/8/12,5211202,165952,1753760,204
2020/8/13,5265259,167165,1774648,205
2020/8/14,5324736,168341,1796326,206
2020/8/15,5375485,169400,1818527,207
2020/8/16,5417628,169914,1833067,208
2020/8/17,5455135,170449,1865580,209
2020/8/18,5498361,171798,1898159,210
2020/8/19,5541375,173093,1925049,211
2020/8/20,5587400,174136,1947035,212
2020/8/21,5636427,175297,1965056,213
2020/8/22,5681458,176247,1985484,214
2020/8/23,5713798,176693,1997761,215
